Hybrid identity narratives ,Transparency and accountability cues ,Storytelling and personal narratives,Current social movements 
Balanceakt,Abfallreduktionsdaten,Aha-Moment,aktivierung  
Balancekompetenz,Algorithmische Transparenz,Aktivismus,aktivismus  
beteiligungsmodell  ,Anekdote,Antikapitalismus,Animals’ Rights
Brückenfunktion,Anti-Korruptionsrichtlinien,Armutsbekämpfung,Anti-Ableismus
Charakterbildung,audit  ,Artenschutz,Antidiskriminierung
Charakterentwicklung,Auditbericht,Authentizität,Antifaschismus
Crossover-Ansatz,Auditverfahren,authentizität  ,Antiglobalisierung
Doppelfokus,B-Corp-Zertifikat,Authentizitätsnachweis,Antirassismus
Doppelidentität,Berichtspflicht,Authentizitätsnachweise,Antisemitismus
Doppelmission,Berichtspflichten,Begegnung,Antisexismus
doppelnutzen  ,Berichtsqualität,Begegnungsgeschichte,Arbeitsrechte
Doppelorientiertheit,berichtsrahmen  ,Beneficiary-Story,Arbeitsrechtsbewegung
doppelorientierung  ,Berichtsstandard,berühren,Armut
Doppel-orientierung  ,Berichtstransparenz,berührung  ,ausgrenzung  
Doppelstrategie,Beschwerdemechanismen,Beteiligung,Barrierefreiheit
Doppelte Zielsetzung  ,bewertung  ,Betroffenen-Perspektive,befreiung  
Doppelte Zielsetzungen,bewertungskriterium  ,Beweggrund,beteiligung  
Duale Identität,bewertungssystem  ,bewegung  ,beteiligungsstruktur  
Duale Mission,Biodiversitätsmonitoring,beziehung  ,beweggrund  
Duale Zielsetzung,Bio-Zertifizierung,Beziehungserfahrung,Bewegungspartnerschaft
Dualitätsmanagement,Blockchain-Verifizierung,Biografie,bewusstsein  
Dualmodell,Charakter,biografie  ,bildung  
Dualstrategie,codex  ,blickwinkel  ,Bildungsgerechtigkeit
effiziente Ressourcennutzung  ,compliance  ,botschaft  ,Bildungsoffensive
ertragsmodell  ,Compliance-Bericht,Charakterprofil,Biodiversität
Ethik und Effizienz  ,Compliance-Check,Charakterstärke,BlackLivesMatter
Ethikmanagement,Compliance-Management,Community-Erzählung,Bürgerbeteiligung
Ethische Unternehmensführung,Compliance-Richtlinie,Community-Stimme,Bürgerrechte
Ethisches Marketing,compliancerichtlinie  ,dialog  ,Changemaker-Netzwerk
